Class	x	y
C2	0.317612	0.670107
C2	0.401046	0.777825
C2	0.373195	0.820402
C2	0.311335	0.781272
C2	0.430008	0.85347
C2	0.312694	0.830797
C2	0.332781	0.83198
C2	0.329768	0.839368
C2	0.409075	0.840318
C2	0.335336	0.863009
C2	0.264059	0.90927
C2	0.27849	0.88955
C2	0.204657	0.942208
C2	0.270939	0.888514
C2	0.197238	0.977873
C2	0.173559	0.971213
C2	0.172371	0.897883
C2	0.0804313	0.879945
C2	0.0535951	0.907841
C2	0.118535	0.946811
C2	0.113954	0.967939
C2	0.209155	0.928855
C2	0.27643	0.908708
C2	0.236535	0.97694
C2	0.29756	0.918823
C2	0.273196	0.929872
C2	0.285645	0.977048
C2	0.30803	0.923874
C2	0.331881	0.94766
C2	0.306375	0.941353
C2	0.360918	0.892274
C2	0.404913	0.925065
C2	0.373814	0.967967
C2	0.35578	0.911023
C2	0.385948	0.969555
C1	0.532095	0.992338
C1	0.568914	0.928726
C1	0.603022	0.920782
C1	0.592048	0.860392
C1	0.630238	0.776282
C1	0.552512	0.747646
C1	0.570149	0.72966
C1	0.574896	0.689858
C1	0.53404	0.678946
C1	0.516587	0.612286
C1	0.535792	0.606277
C1	0.656734	0.592519
C1	0.619211	0.531409
C1	0.526138	0.573966
C1	0.570684	0.556124
C1	0.562937	0.554911
C1	0.560397	0.556841
C1	0.608166	0.528942
C1	0.667052	0.49793
C1	0.784926	0.552103
C1	0.75962	0.558798
C1	0.789793	0.481039
C1	0.815408	0.595251
C1	0.883477	0.630027
C1	0.832068	0.572053
C1	0.847352	0.583827
C1	0.869025	0.572794
C1	0.927145	0.532557
C1	0.881301	0.646761
C1	0.846047	0.557457
C1	0.912857	0.668671
C1	0.930294	0.640868
C1	0.853926	0.673798
C1	0.925383	0.834637
C1	0.925236	0.795366
C1	0.900496	0.76097
C1	0.922725	0.879644
C1	0.934657	0.858097
C1	0.901541	0.906215
C1	0.928466	0.939307
C1	0.865905	0.97532
C1	0.824389	0.91566
C1	0.866674	0.926674
C1	0.746888	0.92388
C1	0.733664	0.931586
C1	0.658789	0.929571
C1	0.641279	0.926803
C1	0.676477	0.911349
C1	0.646773	0.96148
C1	0.636853	0.892316
C1	0.614439	0.879919
C1	0.676804	0.938979
C1	0.652978	0.838898
C1	0.657001	0.923373
C1	0.531081	0.876394
C1	0.628297	0.972378
C1	0.539773	0.931622
C1	0.574534	0.938281
C1	0.696521	0.809309
C1	0.718405	0.870942
C1	0.736169	0.688607
C1	0.758411	0.827215
C1	0.772274	0.802806
C1	0.786996	0.802819
C1	0.82049	0.793244
C1	0.727692	0.87699
C1	0.801895	0.766694
C1	0.751342	0.705968
C1	0.73574	0.690833
C1	0.716844	0.665208
C1	0.705652	0.646065
C1	0.662896	0.517698
C1	0.583697	0.622693
C1	0.670622	0.615671
C1	0.651358	0.656405
C1	0.677522	0.591339
C1	0.767174	0.648982
C1	0.765381	0.603466
C1	0.768168	0.627957
C1	0.768941	0.582547
C1	0.780732	0.565279
C1	0.749751	0.670817
C1	0.807925	0.694226
C1	0.78123	0.732189
C1	0.806572	0.77199
C1	0.778335	0.778879
C1	0.841278	0.845881
C1	0.87314	0.864322
C1	0.775252	0.872558
C1	0.56248	0.773421
C1	0.644961	0.708081
C1	0.607984	0.771531
C1	0.627352	0.684933
C1	0.666767	0.619333
C1	0.628872	0.68983
C1	0.12165	0.393783
C1	0.0998389	0.429924
C1	0.0293306	0.29313
C1	0.0982257	0.307238
C1	0.0942966	0.232709
C1	0.0746075	0.270464
C1	0.119812	0.184675
C1	0.121612	0.258789
C1	0.0818307	0.111923
C1	0.05559	0.0793337
C1	0.0575809	0.0175031
C1	0.125599	0.150706
C1	0.0644286	0.0861589
C1	0.0984031	0.0509534
C1	0.0551572	0.0561515
C1	0.0770199	0.0911554
C1	0.143829	0.0571666
C1	0.183281	0.0496228
C1	0.195587	0.14021
C1	0.291216	0.0819427
C1	0.246244	0.0426197
C1	0.263515	0.0807722
C1	0.306885	0.0723671
C1	0.34633	0.0365322
C1	0.176236	0.433429
C1	0.0416567	0.417117
C1	0.127643	0.395489
C1	0.245822	0.44036
C1	0.23259	0.390368
C1	0.215525	0.420721
C1	0.25294	0.401817
C1	0.265236	0.462731
C1	0.341977	0.378276
C1	0.348448	0.42224
C1	0.275524	0.442564
C1	0.397085	0.41425
C2	0.310044	0.706384
C2	0.317527	0.699298
C2	0.237644	0.735375
C2	0.232899	0.798118
C2	0.192098	0.787404
C2	0.174904	0.797411
C2	0.180071	0.860955
C2	0.0884732	0.901411
C2	0.0593823	0.811331
C2	0.107082	0.897514
C2	0.0445993	0.781145
C2	0.0814984	0.825672
C2	0.0558633	0.669846
C2	0.0648426	0.636176
C2	0.126869	0.615024
C2	0.0910464	0.575242
C2	0.0879493	0.608538
C2	0.14766	0.6128
C2	0.241258	0.589815
C2	0.206534	0.700047
C2	0.238402	0.664321
C2	0.217061	0.610159
C2	0.238453	0.677272
C2	0.248847	0.702625
C2	0.24142	0.821432
C2	0.22557	0.814395
C2	0.299796	0.729742
C2	0.332067	0.799552
C2	0.342904	0.828119
C2	0.402858	0.739036
C2	0.379062	0.762385
C2	0.341018	0.752028
C2	0.487594	0.401888
C2	0.539976	0.406924
C2	0.557847	0.435313
C2	0.630648	0.400102
C2	0.616945	0.396584
C2	0.644732	0.425004
C2	0.683414	0.425663
C2	0.713919	0.357327
C2	0.694687	0.424574
C2	0.75805	0.349117
C2	0.765834	0.343506
C2	0.74816	0.347556
C2	0.829288	0.33799
C2	0.813702	0.339431
C2	0.90614	0.339734
C2	0.871519	0.287636
C2	0.936945	0.380137
C2	0.882851	0.305697
C2	0.930294	0.278984
C2	0.923767	0.415911
C2	0.908468	0.408098
C2	0.934696	0.412139
C2	0.952168	0.380615
C2	0.962086	0.323498
C2	0.906229	0.234574
C2	0.97714	0.212772
C2	0.961077	0.228215
C2	0.974277	0.1708
C2	0.938055	0.132681
C2	0.919499	0.0741407
C2	0.930912	0.075858
C2	0.985518	0.0544764
C2	0.856268	0.109628
C2	0.908225	0.0822874
C2	0.943527	0.0700162
C2	0.847641	0.0963216
C2	0.81387	0.0575428
C2	0.736321	0.0204438
C2	0.769993	0.0413357
C2	0.727454	0.0444208
C2	0.656387	0.0389537
C2	0.634793	0.0896607
C2	0.668893	0.063849
C2	0.667078	0.148253
C2	0.625382	0.109034
C2	0.627563	0.107124
C2	0.588512	0.116694
C2	0.595884	0.142654
C2	0.635791	0.183822
C2	0.517478	0.143579
C2	0.546559	0.206186
C2	0.543158	0.219814
C2	0.542968	0.272731
C2	0.582757	0.223416
C2	0.5658	0.32687
C2	0.563903	0.297274
C2	0.554496	0.262995
C2	0.538873	0.236384
C2	0.492864	0.237152
C2	0.547272	0.183535
C2	0.533879	0.128426
C2	0.518611	0.0684926
C2	0.492534	0.0984409
C2	0.514957	0.0713049
C2	0.556303	0.094453
C2	0.525477	0.135498
C2	0.566413	0.188049
C2	0.491372	0.31782
C2	0.545729	0.230039
C2	0.553868	0.179385
C2	0.496939	0.371024
C2	0.586048	0.320735
C2	0.613109	0.294546
C2	0.723215	0.30245
C2	0.775054	0.282028
C2	0.829811	0.249485
C2	0.784769	0.238961
C2	0.818777	0.215475
C2	0.783484	0.187159
C2	0.913033	0.135722
C2	0.884191	0.203877
C2	0.767601	0.203257
C2	0.784062	0.14166
C2	0.815085	0.111101
C2	0.693652	0.189214
C2	0.696372	0.171681
C2	0.747217	0.208285
C2	0.768636	0.158029
C2	0.765289	0.231822
C2	0.785798	0.266632
C2	0.709571	0.25729
C2	0.687238	0.281451
C2	0.740204	0.280774
C2	0.801447	0.339292
C2	0.836365	0.362639
C2	0.856383	0.425371
C2	0.867688	0.418489
C2	0.868799	0.457258
C2	0.861523	0.463336
C2	0.880606	0.37536
C2	0.728011	0.405352
C2	0.684292	0.367763
C2	0.728801	0.344695
C2	0.681536	0.366051
C2	0.653828	0.393717
C2	0.700513	0.381533
